date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-03-19,AMGN,67.2,68.3,67.0,68.05,2938647,Event17,-0.69066862601
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-03-15,MRK,38.15,38.25,37.95,38.06,12246930,Event20,[]
2012-03-14,MRK,38.39,38.4,38.09,38.22,11757913,Event20,-0.418628990058
2012-03-13,MRK,37.87,38.3,37.7,38.28,15002381,Event20,-0.156739811912
2012-03-12,MRK,37.72,38.11,37.65,38.1,10873338,Event20,0.472440944882
2012-03-09,MRK,37.48,37.9,37.46,37.6,44520949,Event20,1.32978723404
2012-03-08,MRK,37.62,37.81,37.35,37.4,40922023,Event20,0.534759358289
2012-03-07,MRK,37.33,37.43,36.91,37.31,16871040,Event20,0.241222192442
2012-03-06,MRK,37.98,38.38,37.3,37.44,18595387,Event20,-0.347222222222
2012-03-05,MRK,38.01,38.52,37.99,38.45,18663018,Event20,-2.62678803641
2012-03-02,MRK,37.62,38.09,37.56,37.93,13050394,Event20,1.37094648036
2012-03-01,MRK,38.15,38.16,37.66,37.79,18056283,Event20,0.370468377878
2012-02-29,MRK,38.47,38.49,38.12,38.17,15240254,Event20,-0.995546240503
2012-02-28,MRK,38.15,38.49,38.0,38.38,9461869,Event20,-0.547159979156
2012-02-27,MRK,37.94,38.26,37.83,38.15,16511426,Event20,0.602883355177
2012-02-24,MRK,38.49,38.5,38.14,38.2,8489413,Event20,-0.130890052356
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2013-03-15,GILD,45.81,46.0,44.96,45.17,14207658,Event2,[]
2013-03-14,GILD,45.9,46.14,45.68,45.88,8979676,Event2,-1.54751525719
2013-03-13,GILD,46.15,46.15,45.6,45.87,6112041,Event2,0.0218007412252
2013-03-12,GILD,45.97,46.37,45.53,46.18,9915880,Event2,-0.671286271113
2013-03-11,GILD,45.5,45.95,45.18,45.94,7298181,Event2,0.522420548542
2013-03-08,GILD,45.24,45.55,44.51,45.43,6885072,Event2,1.12260620735
2013-03-07,GILD,45.1,45.2,44.51,44.95,9182478,Event2,1.06785317019
2013-03-06,GILD,45.23,45.45,44.64,45.4,8542354,Event2,-0.991189427313
2013-03-05,GILD,44.35,45.58,44.35,45.02,15086851,Event2,0.844069302532
2013-03-04,GILD,43.53,43.88,43.18,43.87,8814408,Event2,2.621381354
2013-03-01,GILD,42.63,43.5,42.38,43.45,11294489,Event2,0.9666283084
2013-02-28,GILD,43.03,43.18,42.71,42.72,10104187,Event2,1.70880149813
2013-02-27,GILD,42.39,43.29,42.08,42.89,7986202,Event2,-0.396362788529
2013-02-26,GILD,42.14,42.42,41.69,42.25,7196075,Event2,1.51479289941
2013-02-25,GILD,42.77,43.35,42.06,42.09,9560882,Event2,0.380137799952
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2011-08-19,BIIB,87.95,92.4,87.15,90.05,3529904,Event23,[]
2011-08-18,BIIB,88.45,89.39,86.86,88.46,2353738,Event23,1.79742256387
2011-08-17,BIIB,91.57,92.15,89.39,90.03,1943062,Event23,-1.74386315673
2011-08-16,BIIB,91.36,92.34,90.25,91.1,1576474,Event23,-1.17453347969
2011-08-15,BIIB,91.34,92.7,90.38,91.67,1838045,Event23,-0.62179557107
2011-08-12,BIIB,88.38,91.22,87.35,90.98,2530465,Event23,0.758408441416
2011-08-11,BIIB,85.36,89.44,84.22,88.41,2332243,Event23,2.90691098292
2011-08-10,BIIB,86.5,88.36,84.94,85.03,2723216,Event23,3.97506762319
2011-08-09,BIIB,86.91,90.56,83.83,89.43,3684558,Event23,-4.92004920049
2011-08-08,BIIB,91.29,93.87,87.14,88.0,3713783,Event23,1.625
2011-08-05,BIIB,93.19,94.5,90.24,93.18,2767145,Event23,-5.55913286113
2011-08-04,BIIB,97.37,97.68,92.5,92.55,2959569,Event23,0.680713128039
2011-08-03,BIIB,98.41,99.98,95.42,98.78,2431188,Event23,-6.30694472565
2011-08-02,BIIB,102.04,99.98,95.42,98.42,3940785,Event23,0.365779313148
2011-08-01,BIIB,105.91,105.98,101.88,102.9,2898769,Event23,-4.3537414966
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-08-17,AMGN,83.46,83.57,82.27,83.38,4058685,Event10,[]
2012-08-16,AMGN,83.61,83.84,82.77,83.1,3610095,Event10,0.336943441637
2012-08-15,AMGN,83.28,83.88,83.21,83.65,2940160,Event10,-0.657501494322
2012-08-14,AMGN,82.25,83.62,82.02,83.54,3614547,Event10,0.131673449844
2012-08-13,AMGN,82.37,82.47,81.86,82.23,3696929,Event10,1.5930925453
2012-08-10,AMGN,81.93,82.78,81.7,82.73,2832262,Event10,-0.604375679923
2012-08-09,AMGN,81.0,82.13,80.96,81.97,3387430,Event10,0.927168476272
2012-08-08,AMGN,81.16,81.93,81.12,81.37,3371956,Event10,0.737372496006
2012-08-07,AMGN,83.0,83.0,81.5,81.57,3845981,Event10,-0.24518818193
2012-08-06,AMGN,82.18,82.89,81.73,82.43,3819974,Event10,-1.04330947471
2012-08-03,AMGN,82.54,83.0,81.98,82.21,4121399,Event10,0.267607347038
2012-08-02,AMGN,80.73,82.72,80.34,81.04,4648293,Event10,1.44373149062
2012-08-01,AMGN,83.42,83.61,81.75,81.82,4045507,Event10,-0.953312148619
2012-07-31,AMGN,83.13,83.44,82.6,82.6,4537748,Event10,-0.944309927361
2012-07-30,AMGN,83.17,84.39,83.04,83.46,5817785,Event10,-1.03043374071
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-05-25,AMGN,69.14,69.2,68.8,69.05,2959663,Event16,[]
2012-05-24,AMGN,68.53,69.14,68.31,69.1,3261881,Event16,-0.0723589001447
2012-05-23,AMGN,68.82,69.21,67.99,68.38,4558691,Event16,1.05293945598
2012-05-22,AMGN,69.31,69.72,68.84,68.91,5430099,Event16,-0.769119140908
2012-05-21,AMGN,69.11,69.51,69.05,69.32,4248885,Event16,-0.591459896134
2012-05-18,AMGN,70.7,70.7,68.53,69.15,5800429,Event16,0.245842371656
2012-05-17,AMGN,71.07,71.18,70.49,70.54,5584164,Event16,-1.97051318401
2012-05-16,AMGN,71.0,71.18,70.52,70.98,3410911,Event16,-0.619892927585
